Metric,overall,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5189168300340748,0.5479427849030502,0.5116689288774432,0.5506498411036145,0.4984534864471756,102,AdaptiveRandomForest,Run_1
Std,0.02642190658657465,0.025178897136199006,0.026732291194893298,0.025718516865725776,0.026875494350486532,102,AdaptiveRandomForest,Run_1
IQR,0.0314587620732677,0.029091348457156038,0.032049915059066,0.030794261169842612,0.03188727200164462,102,AdaptiveRandomForest,Run_1
Entropy,0.0,0.16369066070888355,0.0,0.0,0.0,102,AdaptiveRandomForest,Run_1
Jitter,0.11776094276094272,0.12417061611374403,0.11616042077580538,0.09200214707461085,0.13437175493250259,102,AdaptiveRandomForest,Run_1
Per_Sample_Accuracy,0.6812500000000001,0.6914691943127961,0.678698224852071,0.691304347826087,0.6747663551401869,102,AdaptiveRandomForest,Run_1
Label_Stability,0.8333333333333334,0.8246445497630331,0.8355029585798817,0.8724637681159422,0.8080996884735203,102,AdaptiveRandomForest,Run_1
TPR,0.5753715498938429,0.37333333333333335,0.6136363636363636,0.4421768707482993,0.6358024691358025,102,AdaptiveRandomForest,Run_1
TNR,0.8017094017094017,0.875,0.779510022271715,0.8614232209737828,0.7515723270440252,102,AdaptiveRandomForest,Run_1
PPV,0.7002583979328165,0.6222222222222222,0.7105263157894737,0.6372549019607843,0.7228070175438597,102,AdaptiveRandomForest,Run_1
FNR,0.42462845010615713,0.6266666666666667,0.38636363636363635,0.5578231292517006,0.36419753086419754,102,AdaptiveRandomForest,Run_1
FPR,0.19829059829059828,0.125,0.22048997772828507,0.13857677902621723,0.24842767295597484,102,AdaptiveRandomForest,Run_1
Accuracy,0.7007575757575758,0.6966824644549763,0.7017751479289941,0.7125603864734299,0.6931464174454829,102,AdaptiveRandomForest,Run_1
F1,0.6317016317016317,0.4666666666666667,0.6585365853658537,0.5220883534136547,0.6765188834154351,102,AdaptiveRandomForest,Run_1
Selection-Rate,0.3664772727272727,0.2132701421800948,0.40473372781065087,0.2463768115942029,0.4439252336448598,102,AdaptiveRandomForest,Run_1
Positive-Rate,0.821656050955414,0.6,0.8636363636363636,0.6938775510204082,0.8796296296296297,102,AdaptiveRandomForest,Run_1
Mean,0.5216076301756064,0.5492831080794122,0.5146969487108691,0.5532210478665166,0.5012214075524961,202,AdaptiveRandomForest,Run_2
Std,0.03082698583432317,0.028619509135072087,0.03137820190952077,0.028689826444169113,0.032205154039188874,202,AdaptiveRandomForest,Run_2
IQR,0.03587557962860623,0.03221305597835028,0.036790126954291444,0.03483657641485452,0.03654559104681995,202,AdaptiveRandomForest,Run_2
Entropy,0.0,0.17735914538140735,0.0,0.0,0.0,202,AdaptiveRandomForest,Run_2
Jitter,0.12525252525252523,0.12690889942074773,0.12483892176199865,0.10042941492216853,0.14125995154032533,202,AdaptiveRandomForest,Run_2
Per_Sample_Accuracy,0.6787878787878787,0.6867298578199051,0.6768047337278106,0.6891304347826087,0.6721183800623053,202,AdaptiveRandomForest,Run_2
Label_Stability,0.8337121212121213,0.8398104265402843,0.8321893491124259,0.8681159420289855,0.8115264797507789,202,AdaptiveRandomForest,Run_2
TPR,0.5711252653927813,0.3466666666666667,0.6136363636363636,0.43537414965986393,0.6327160493827161,202,AdaptiveRandomForest,Run_2
TNR,0.8,0.8676470588235294,0.779510022271715,0.8576779026217228,0.7515723270440252,202,AdaptiveRandomForest,Run_2
PPV,0.6968911917098446,0.5909090909090909,0.7105263157894737,0.6274509803921569,0.721830985915493,202,AdaptiveRandomForest,Run_2
FNR,0.4288747346072187,0.6533333333333333,0.38636363636363635,0.564625850340136,0.36728395061728397,202,AdaptiveRandomForest,Run_2
FPR,0.2,0.1323529411764706,0.22048997772828507,0.14232209737827714,0.24842767295597484,202,AdaptiveRandomForest,Run_2
