Metric,overall,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
Accuracy,0.6979166666666666,0.6824644549763034,0.7017751479289941,0.7077294685990339,0.6915887850467289,202,AdaptiveRandomForest,Run_2
F1,0.6277712952158693,0.4369747899159664,0.6585365853658537,0.5140562248995983,0.6743421052631579,202,AdaptiveRandomForest,Run_2
Selection-Rate,0.36553030303030304,0.20853080568720378,0.40473372781065087,0.2463768115942029,0.4423676012461059,202,AdaptiveRandomForest,Run_2
Positive-Rate,0.8195329087048833,0.5866666666666667,0.8636363636363636,0.6938775510204082,0.8765432098765432,202,AdaptiveRandomForest,Run_2
Mean,0.5238997228870627,0.5532851141544342,0.5165620689729615,0.5578041381838081,0.5020361279760771,302,AdaptiveRandomForest,Run_3
Std,0.0286848893160157,0.028272414155827492,0.02878788607199169,0.027976237221320463,0.02914187057334253,302,AdaptiveRandomForest,Run_3
IQR,0.03337249901526149,0.03301348738166887,0.03346214570720001,0.032947396208885635,0.03364663073152257,302,AdaptiveRandomForest,Run_3
Entropy,0.0,0.1628467764515063,0.0,0.0,0.0,302,AdaptiveRandomForest,Run_3
Jitter,0.11424663299663294,0.12185360716166402,0.11234714003944772,0.09919484702093398,0.12395292488750428,302,AdaptiveRandomForest,Run_3
Per_Sample_Accuracy,0.6828598484848484,0.6848341232227488,0.6823668639053254,0.6869565217391304,0.6802180685358257,302,AdaptiveRandomForest,Run_3
Label_Stability,0.8498106060606061,0.8360189573459715,0.8532544378698225,0.8714975845410629,0.8358255451713398,302,AdaptiveRandomForest,Run_3
TPR,0.5817409766454352,0.4,0.6161616161616161,0.46938775510204084,0.6327160493827161,302,AdaptiveRandomForest,Run_3
TNR,0.7965811965811965,0.875,0.7728285077951003,0.8539325842696629,0.7484276729559748,302,AdaptiveRandomForest,Run_3
PPV,0.6972010178117048,0.6382978723404256,0.7052023121387283,0.6388888888888888,0.7192982456140351,302,AdaptiveRandomForest,Run_3
FNR,0.4182590233545648,0.6,0.3838383838383838,0.5306122448979592,0.36728395061728397,302,AdaptiveRandomForest,Run_3
FPR,0.20341880341880342,0.125,0.22717149220489977,0.14606741573033707,0.25157232704402516,302,AdaptiveRandomForest,Run_3
Accuracy,0.7007575757575758,0.7061611374407583,0.6994082840236686,0.717391304347826,0.6900311526479751,302,AdaptiveRandomForest,Run_3
F1,0.6342592592592593,0.4918032786885246,0.6576819407008087,0.5411764705882353,0.6732348111658456,302,AdaptiveRandomForest,Run_3
Selection-Rate,0.3721590909090909,0.22274881516587677,0.40946745562130177,0.2608695652173913,0.4439252336448598,302,AdaptiveRandomForest,Run_3
Positive-Rate,0.8343949044585988,0.6266666666666667,0.8737373737373737,0.7346938775510204,0.8796296296296297,302,AdaptiveRandomForest,Run_3
