Metric,overall,sex_priv,sex_dis,race_priv,race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.492657167055411,0.5348772259421942,0.4821146434753976,0.5370004660254323,0.46406195557007013,101,HoeffdingTreeClassifier,Run_1
Std,0.15997831787201325,0.169485709823839,0.15760428272191235,0.1534075488753851,0.16421554273899774,101,HoeffdingTreeClassifier,Run_1
IQR,0.13277346942051205,0.13812161151602578,0.13143801618719442,0.13520400197330548,0.13120611665282284,101,HoeffdingTreeClassifier,Run_1
Entropy,0.0,0.27683186199708393,0.0,0.0,0.2741165257054461,101,HoeffdingTreeClassifier,Run_1
Jitter,0.18089225589225594,0.1959978936282254,0.17712031558185407,0.1617283950617284,0.19325025960539977,101,HoeffdingTreeClassifier,Run_1
Per_Sample_Accuracy,0.6585227272727272,0.6649289099526067,0.6569230769230769,0.6717391304347826,0.6499999999999999,101,HoeffdingTreeClassifier,Run_1
Label_Stability,0.7768939393939395,0.7601895734597155,0.7810650887573964,0.7995169082125604,0.7623052959501557,101,HoeffdingTreeClassifier,Run_1
TPR,0.5435244161358811,0.4266666666666667,0.5656565656565656,0.46258503401360546,0.5802469135802469,101,HoeffdingTreeClassifier,Run_1
TNR,0.7811965811965812,0.8308823529411765,0.7661469933184856,0.8164794007490637,0.7515723270440252,101,HoeffdingTreeClassifier,Run_1
PPV,0.6666666666666666,0.5818181818181818,0.6808510638297872,0.5811965811965812,0.704119850187266,101,HoeffdingTreeClassifier,Run_1
FNR,0.4564755838641189,0.5733333333333334,0.43434343434343436,0.5374149659863946,0.41975308641975306,101,HoeffdingTreeClassifier,Run_1
FPR,0.2188034188034188,0.16911764705882354,0.23385300668151449,0.18352059925093633,0.24842767295597484,101,HoeffdingTreeClassifier,Run_1
Accuracy,0.6751893939393939,0.6872037914691943,0.672189349112426,0.6908212560386473,0.6651090342679128,101,HoeffdingTreeClassifier,Run_1
F1,0.5988304093567252,0.49230769230769234,0.6179310344827587,0.5151515151515151,0.6362098138747885,101,HoeffdingTreeClassifier,Run_1
Selection-Rate,0.36363636363636365,0.26066350710900477,0.3893491124260355,0.2826086956521739,0.4158878504672897,101,HoeffdingTreeClassifier,Run_1
Positive-Rate,0.8152866242038217,0.7333333333333333,0.8308080808080808,0.7959183673469388,0.8240740740740741,101,HoeffdingTreeClassifier,Run_1
Mean,0.4810972534553363,0.5306217239495635,0.468730788041985,0.5456841581646451,0.4394477541568101,201,HoeffdingTreeClassifier,Run_2
Std,0.24101690870362957,0.2595440590075347,0.23639060253306865,0.23531880808559888,0.24469138480310723,201,HoeffdingTreeClassifier,Run_2
IQR,0.31493570052857506,0.33653142274495285,0.30954315924140857,0.3121852633855137,0.31670934691054925,201,HoeffdingTreeClassifier,Run_2
Entropy,0.3798356768339495,0.43009223529695867,0.3672864060224761,0.34919220858398464,0.0,201,HoeffdingTreeClassifier,Run_2
