Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name
Mean,0.5562730431556702,0.5370967984199524,0.5743502378463745,0.543605625629425,0.5834716558456421,0.2699633240699768,0.6020128130912781,0.22566717863082886,0.6373579502105713,105,XGBClassifier
Std,0.022851528599858284,0.022359589114785194,0.023315273225307465,0.022768288850784302,0.023030251264572144,0.022207489237189293,0.022954417392611504,0.019244881346821785,0.023746872320771217,105,XGBClassifier
IQR,0.028649032168090345,0.02825260448707618,0.029022740827074556,0.028293937138910038,0.0294114667350715,0.02786034902730135,0.02877502938774089,0.022527304857802792,0.029489496515856847,105,XGBClassifier
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,XGBClassifier
Jitter,0.02428947368421053,0.020637761327584814,0.027731908693540558,0.023982179707238042,0.024949273261832803,0.009685738848027509,0.026622514535105533,0.007174360482211119,0.032812499999999994,105,XGBClassifier
Per_Sample_Accuracy,0.830875,0.8655589902112313,0.7981787275376396,0.8250091608647856,0.8434697088906374,0.8281306715063521,0.8313134241809219,0.9173184357541899,0.834982638888889,105,XGBClassifier
Label_Stability,0.9665,0.9716125708397734,0.9616804273919379,0.9669109563942836,0.9656176239181746,0.9876588021778585,0.9631197448535808,0.9921787709497206,0.9536458333333333,105,XGBClassifier
TPR,0.8751412429378531,0.8957189901207464,0.8533178114086146,0.8693910256410257,0.8888888888888888,0.980722891566265,0.8428044280442805,0.9868421052631579,0.8301886792452831,105,XGBClassifier
TNR,0.7982062780269058,0.8407766990291262,0.7616666666666667,0.7893315327481432,0.8157543391188251,0.3602941176470588,0.826647564469914,0.5185185185185185,0.8379120879120879,105,XGBClassifier
PPV,0.7748874437218609,0.8326530612244898,0.719332679097154,0.7766642806012884,0.770764119601329,0.8238866396761133,0.7588039867109635,0.9202453987730062,0.7489361702127659,105,XGBClassifier
FNR,0.1248587570621469,0.10428100987925357,0.14668218859138532,0.13060897435897437,0.1111111111111111,0.01927710843373494,0.15719557195571957,0.013157894736842105,0.16981132075471697,105,XGBClassifier
FPR,0.20179372197309417,0.15922330097087378,0.23833333333333334,0.21066846725185687,0.1842456608811749,0.6397058823529411,0.17335243553008595,0.48148148148148145,0.1620879120879121,105,XGBClassifier
Accuracy,0.83225,0.8665636269963937,0.7999028654686741,0.8259435690729204,0.8457907159716759,0.8275862068965517,0.8329950710350826,0.9162011173184358,0.8350694444444444,105,XGBClassifier
F1,0.8219686919607323,0.8630354309888948,0.7806176783812566,0.8204158790170132,0.8256227758007118,0.8954895489548955,0.7986013986013986,0.9523809523809523,0.7874720357941835,105,XGBClassifier
Selection-Rate,0.49975,0.5048943843379701,0.49490043710539094,0.5119091242213265,0.47364280094413846,0.896551724137931,0.4363583647434039,0.9106145251396648,0.4079861111111111,105,XGBClassifier
Positive-Rate,1.1293785310734463,1.0757409440175631,1.1862630966239813,1.1193910256410255,1.1532567049808429,1.1903614457831326,1.1107011070110702,1.0723684210526316,1.1084905660377358,105,XGBClassifier
