Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,AGEP_priv,AGEP_dis,SEX&RAC1P&AGEP_priv,SEX&RAC1P&AGEP_dis,Model_Seed,Model_Name
Mean,0.558159855777513,0.5342307879171153,0.5807175637508164,0.546060633740672,0.5841384371610999,0.2723086708709171,0.6038264266338581,0.19816634072852118,0.6390506254272014,104,RandomForestClassifier
Std,0.03376990056494558,0.03208412747565263,0.03535906305465787,0.034417181943430186,0.03238010443443063,0.0292279463076604,0.03449550705835356,0.024841971026192698,0.03562357830212836,104,RandomForestClassifier
IQR,0.042414679695494985,0.040583698035267846,0.04414072894391697,0.042992608724608784,0.04117379195320421,0.036132995900195405,0.043418219205848735,0.030047294966856722,0.0453329512637308,104,RandomForestClassifier
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,RandomForestClassifier
Jitter,0.03234868421052633,0.02799967461156756,0.036448454794100346,0.031555804131067865,0.03405109942440678,0.017279587353137834,0.034756069646426885,0.012643340194060593,0.04451754385964916,104,RandomForestClassifier
Per_Sample_Accuracy,0.8316875,0.8675425038639877,0.797887323943662,0.8227555881275193,0.8508654602675058,0.8329401088929219,0.8314873876485939,0.9178770949720672,0.8434027777777778,104,RandomForestClassifier
Label_Stability,0.9575250000000001,0.9625965996908811,0.9527440505099564,0.9585928911689263,0.9552321007081038,0.9780399274047187,0.9542476080023196,0.9832402234636871,0.9416666666666669,104,RandomForestClassifier
TPR,0.880225988700565,0.8825466520307355,0.8777648428405123,0.8709935897435898,0.9022988505747126,0.9783132530120482,0.8501845018450185,0.9802631578947368,0.8726415094339622,104,RandomForestClassifier
TNR,0.7991031390134529,0.8563106796116505,0.75,0.7900067521944631,0.8170894526034713,0.39705882352941174,0.8252148997134671,0.5555555555555556,0.8324175824175825,104,RandomForestClassifier
PPV,0.7766699900299102,0.8445378151260504,0.715370018975332,0.7775393419170243,0.774671052631579,0.8319672131147541,0.758893280632411,0.9254658385093167,0.7520325203252033,104,RandomForestClassifier
FNR,0.11977401129943503,0.11745334796926454,0.12223515715948778,0.12900641025641027,0.09770114942528736,0.021686746987951807,0.14981549815498155,0.019736842105263157,0.12735849056603774,104,RandomForestClassifier
FPR,0.20089686098654708,0.1436893203883495,0.25,0.2099932478055368,0.1829105473965287,0.6029411764705882,0.17478510028653296,0.4444444444444444,0.16758241758241757,104,RandomForestClassifier
Accuracy,0.835,0.8686244204018547,0.8033025740650801,0.8270428728471968,0.8520849724626278,0.8348457350272233,0.8350246448245868,0.9162011173184358,0.8472222222222222,104,RandomForestClassifier
F1,0.8252118644067796,0.8631239935587761,0.7882906429691584,0.8216175359032502,0.8336283185840708,0.8992248062015504,0.8019491820396798,0.952076677316294,0.8078602620087336,104,RandomForestClassifier
Selection-Rate,0.5015,0.4904688304997424,0.5118989800874211,0.5122755588127519,0.4783634933123525,0.8856624319419237,0.440127573209626,0.8994413407821229,0.4270833333333333,104,RandomForestClassifier
Positive-Rate,1.1333333333333333,1.0450054884742042,1.2270081490104774,1.1201923076923077,1.1647509578544062,1.1759036144578314,1.1202952029520294,1.0592105263157894,1.1603773584905661,104,RandomForestClassifier
