Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name
Mean,0.5520635983143451,0.5230862934890089,0.5808963779285827,0.5376718458767815,0.5805682763911296,0.5060088128811586,0.5989513850187924,104,RandomForestClassifier
Std,0.03315147786832094,0.0313903683568738,0.0349038037911823,0.03365449329382671,0.03215519247264707,0.03174724201198174,0.033521090547408774,104,RandomForestClassifier
IQR,0.04136793943177867,0.03883636877466015,0.0438868838013305,0.04185442630296859,0.04040439091939207,0.038794913747346935,0.04172056950142396,104,RandomForestClassifier
Entropy,0.047707966662874,0.0,0.05203592393354863,0.0498615952825371,0.0,0.0,0.0,104,RandomForestClassifier
Jitter,0.03189342105263157,0.028898562194961095,0.03487334295839352,0.03333927369213103,0.029029727821789943,0.029092172838552723,0.029518161601186105,104,RandomForestClassifier
Per_Sample_Accuracy,0.8195125000000001,0.8478195488721805,0.7913466334164589,0.809762979683973,0.838822652757079,0.8393983859134264,0.8146478873239437,104,RandomForestClassifier
Label_Stability,0.957225,0.9616040100250627,0.9528678304239402,0.9551166290443942,0.9614008941877795,0.9618488628026413,0.9616901408450705,104,RandomForestClassifier
TPR,0.8636112644947542,0.8690228690228691,0.8574793875147232,0.8602584814216478,0.8708551483420593,0.8571428571428571,0.8453947368421053,104,RandomForestClassifier
TNR,0.7921425308359982,0.8373668925459826,0.7517301038062284,0.776056338028169,0.8218465539661899,0.8313432835820895,0.7980295566502463,104,RandomForestClassifier
PPV,0.7746409113422487,0.8326693227091634,0.7172413793103448,0.7700650759219089,0.7845911949685535,0.8401697312588402,0.7581120943952803,104,RandomForestClassifier
FNR,0.13638873550524572,0.13097713097713098,0.1425206124852768,0.13974151857835218,0.12914485165794065,0.14285714285714285,0.15460526315789475,104,RandomForestClassifier
FPR,0.20785746916400183,0.16263310745401743,0.24826989619377163,0.223943661971831,0.17815344603381014,0.16865671641791044,0.2019704433497537,104,RandomForestClassifier
Accuracy,0.8245,0.8526315789473684,0.7965087281795511,0.8152746425884123,0.8427719821162444,0.8444607483492297,0.8183098591549296,104,RandomForestClassifier
F1,0.816710182767624,0.8504577822990844,0.7811158798283262,0.8126669210225105,0.8254755996691481,0.8485714285714285,0.7993779160186625,104,RandomForestClassifier
Selection-Rate,0.50475,0.5032581453634085,0.5062344139650873,0.5203160270880361,0.47391952309985097,0.5187087307410124,0.47746478873239434,104,RandomForestClassifier
Positive-Rate,1.1148536720044175,1.0436590436590436,1.1955241460541814,1.117124394184168,1.1099476439790577,1.02020202020202,1.1151315789473684,104,RandomForestClassifier
