Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name
Mean,0.5530226097454709,0.5283590086813957,0.5765536370430474,0.5424310342459485,0.5732877727733264,0.5032891642756259,0.5702588849331178,101,DecisionTreeClassifier
Std,0.05253430338456877,0.05311081969882066,0.05198426119515308,0.05299021944712944,0.051661986198591456,0.054592943127368475,0.05298837379887845,101,DecisionTreeClassifier
IQR,0.059290235858117206,0.058499789512514104,0.06004438422790853,0.05933876046707863,0.0591973923419179,0.060116017235740456,0.06280809218494882,101,DecisionTreeClassifier
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101,DecisionTreeClassifier
Jitter,0.03942631578947367,0.036432479047080066,0.04228267297457128,0.037529300983711655,0.0430559282401196,0.03501803574356452,0.046770334928229663,101,DecisionTreeClassifier
Per_Sample_Accuracy,0.8135,0.850563236047107,0.7781387396189545,0.8103159497525696,0.8195921340131099,0.8441978193146416,0.7785511363636364,101,DecisionTreeClassifier
Label_Stability,0.9451,0.9486431131592422,0.9417195896433807,0.9483060525314048,0.9389657683903859,0.9514797507788161,0.9349431818181819,101,DecisionTreeClassifier
TPR,0.8585393904542841,0.8663745892661555,0.8498789346246973,0.8526936026936027,0.8711433756805808,0.8608562691131498,0.863013698630137,101,DecisionTreeClassifier
TNR,0.7921273772666961,0.8548076923076923,0.7387387387387387,0.7873523280055594,0.8004866180048662,0.846031746031746,0.7330097087378641,101,DecisionTreeClassifier
PPV,0.760570555272542,0.8397027600849257,0.6875612144955926,0.7680060652009097,0.7453416149068323,0.853030303030303,0.6961325966850829,101,DecisionTreeClassifier
FNR,0.14146060954571593,0.13362541073384446,0.15012106537530268,0.1473063973063973,0.12885662431941924,0.13914373088685014,0.136986301369863,101,DecisionTreeClassifier
FPR,0.20787262273330384,0.1451923076923077,0.26126126126126126,0.2126476719944406,0.19951338199513383,0.15396825396825398,0.2669902912621359,101,DecisionTreeClassifier
Accuracy,0.821,0.8602150537634409,0.7835857352222765,0.8169014084507042,0.8288419519300801,0.8535825545171339,0.7869318181818182,101,DecisionTreeClassifier
F1,0.8065910318746623,0.8528301886792453,0.7601515971846237,0.8081372157957718,0.803347280334728,0.8569254185692542,0.7706422018348624,101,DecisionTreeClassifier
Selection-Rate,0.49075,0.4823348694316436,0.4987787005373718,0.5020936429387134,0.4690458849235251,0.514018691588785,0.5142045454545454,101,DecisionTreeClassifier
Positive-Rate,1.1288096607245544,1.031763417305586,1.2360774818401936,1.1102693602693603,1.1687840290381126,1.0091743119266054,1.2397260273972603,101,DecisionTreeClassifier
