Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name
Mean,0.5203611648859905,0.5848527430657348,0.5027018304507649,0.600694059515956,0.4711802629827596,0.624892827479711,0.45109276944644616,652,DecisionTreeClassifier
Std,0.09581560246917567,0.10823356736983335,0.09241526708624528,0.0921565362460204,0.09805573308823715,0.10354666428347621,0.09470323556718654,652,DecisionTreeClassifier
IQR,0.12470875592171944,0.1460453139175607,0.11886629673588597,0.12096860593079882,0.12699852713753498,0.14379404087148534,0.12194944793562845,652,DecisionTreeClassifier
Entropy,0.25969062884687316,0.0,0.255675368443613,0.0,0.26928002024886905,0.0,0.26309285322510756,652,DecisionTreeClassifier
Jitter,0.16650979491888593,0.18029190584256607,0.16273592377331816,0.15882868586110446,0.17121227542601566,0.16333639424547944,0.16582178521457483,652,DecisionTreeClassifier
Per_Sample_Accuracy,0.6799431818181818,0.6862995594713656,0.6782026537997587,0.7079052369077307,0.662824427480916,0.6788888888888889,0.6557305502846301,652,DecisionTreeClassifier
Label_Stability,0.7658333333333334,0.7357709251101321,0.7740651387213511,0.7706234413965087,0.7629007633587787,0.7501010101010102,0.7721821631878558,652,DecisionTreeClassifier
TPR,0.6707317073170732,0.5526315789473685,0.6923076923076923,0.5448275862068965,0.723342939481268,0.41935483870967744,0.7350993377483444,652,DecisionTreeClassifier
TNR,0.7304964539007093,0.7947019867549668,0.7070217917675545,0.84375,0.6363636363636364,0.8235294117647058,0.5866666666666667,652,DecisionTreeClassifier
PPV,0.6846473029045643,0.5753424657534246,0.7041564792176039,0.6638655462184874,0.6914600550964187,0.52,0.7047619047619048,652,DecisionTreeClassifier
FNR,0.32926829268292684,0.4473684210526316,0.3076923076923077,0.45517241379310347,0.276657060518732,0.5806451612903226,0.26490066225165565,652,DecisionTreeClassifier
FPR,0.2695035460992908,0.2052980132450331,0.2929782082324455,0.15625,0.36363636363636365,0.17647058823529413,0.41333333333333333,652,DecisionTreeClassifier
Accuracy,0.7026515151515151,0.7136563876651982,0.6996381182147166,0.7356608478802993,0.6824427480916031,0.696969696969697,0.6717267552182163,652,DecisionTreeClassifier
F1,0.6776180698151951,0.5637583892617449,0.6981818181818182,0.5984848484848485,0.7070422535211267,0.4642857142857143,0.7196110210696921,652,DecisionTreeClassifier
Selection-Rate,0.4564393939393939,0.32158590308370044,0.49336550060313633,0.2967581047381546,0.5541984732824428,0.25252525252525254,0.5977229601518027,652,DecisionTreeClassifier
Positive-Rate,0.9796747967479674,0.9605263157894737,0.9831730769230769,0.8206896551724138,1.0461095100864553,0.8064516129032258,1.0430463576158941,652,DecisionTreeClassifier
