Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name
Mean,0.5366189819597161,0.628349150915337,0.5100743543132178,0.6069710574827046,0.49249988375038445,0.665896766409748,0.4662131595239069,653,LogisticRegression
Std,0.02517155037052971,0.028077416639482086,0.024330658666327377,0.024154111682239226,0.025809605141152558,0.026054326839188572,0.024824468140354394,653,LogisticRegression
IQR,0.03341463516573662,0.03735236175692047,0.03227514651847095,0.03199342457114664,0.03430590282675066,0.0346923575606953,0.03299441899261161,653,LogisticRegression
Entropy,0.0,0.12666101506189323,0.0,0.10022644614414321,0.0,0.08190586529698725,0.0,653,LogisticRegression
Jitter,0.06364784205693276,0.08273196095980793,0.05812533145866621,0.064975554066463,0.06281520910180288,0.05137543660908271,0.05136178743115142,653,LogisticRegression
Per_Sample_Accuracy,0.6682954545454546,0.6853586497890296,0.6633577533577533,0.6495085995085994,0.6800770416024653,0.6752336448598131,0.6766666666666666,653,LogisticRegression
Label_Stability,0.9095075757575758,0.88042194092827,0.9179242979242981,0.9079606879606879,0.9104776579352852,0.9295327102803739,0.9281310211946051,653,LogisticRegression
TPR,0.579476861167002,0.22972972972972974,0.640661938534279,0.3742690058479532,0.6871165644171779,0.21951219512195122,0.7372013651877133,653,LogisticRegression
TNR,0.7477638640429338,0.901840490797546,0.6843434343434344,0.8559322033898306,0.6687306501547987,0.9545454545454546,0.584070796460177,653,LogisticRegression
PPV,0.6713286713286714,0.5151515151515151,0.6843434343434344,0.6530612244897959,0.676737160120846,0.75,0.6967741935483871,653,LogisticRegression
FNR,0.42052313883299797,0.7702702702702703,0.35933806146572106,0.6257309941520468,0.3128834355828221,0.7804878048780488,0.2627986348122867,653,LogisticRegression
FPR,0.2522361359570662,0.09815950920245399,0.31565656565656564,0.1440677966101695,0.33126934984520123,0.045454545454545456,0.415929203539823,653,LogisticRegression
Accuracy,0.6685606060606061,0.6919831223628692,0.6617826617826618,0.6535626535626535,0.6779661016949152,0.6728971962616822,0.6705202312138728,653,LogisticRegression
F1,0.6220302375809935,0.3177570093457944,0.6617826617826618,0.4758364312267658,0.6818873668188736,0.33962264150943394,0.7164179104477612,653,LogisticRegression
Selection-Rate,0.40625,0.13924050632911392,0.4835164835164835,0.24078624078624078,0.5100154083204931,0.11214953271028037,0.5973025048169557,653,LogisticRegression
Positive-Rate,0.8631790744466801,0.44594594594594594,0.9361702127659575,0.5730994152046783,1.0153374233128833,0.2926829268292683,1.0580204778156996,653,LogisticRegression
