Dataset_Name,Model_Name,F1_Score,Accuracy_Score,Model_Best_Params
COMPAS_Without_Sensitive_Attributes,DecisionTreeClassifier,0.6429,0.6443,"{'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 0.1}"
COMPAS_Without_Sensitive_Attributes,LogisticRegression,0.6461,0.6506,"{'C': 1, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg'}"
COMPAS_Without_Sensitive_Attributes,RandomForestClassifier,0.6481,0.6518,"{'max_depth': 10, 'max_features': 0.6, 'min_samples_leaf': 1, 'n_estimators': 100}"
COMPAS_Without_Sensitive_Attributes,XGBClassifier,0.6549,0.6588,"{'lambda': 100, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}"
