Metric,overall,sex_priv,sex_dis,age_priv,age_dis,race_priv,race_dis,Model_Seed,Model_Name
Mean,0.5243676932737679,0.6242849744568681,0.4994179343037865,0.4917999948800755,0.5259185360544198,0.6003101538332972,0.4753954523522021,990,DecisionTreeClassifier
Std,0.09102851007024962,0.10384517725931675,0.08782813518635241,0.08570287264418534,0.09128211185244317,0.09135127705137525,0.09082037061513126,990,DecisionTreeClassifier
IQR,0.11591316579504134,0.1315723657617156,0.11200299870277121,0.11255424744288571,0.11607311428800113,0.11814484732511342,0.11447404406069578,990,DecisionTreeClassifier
Entropy,0.23170128809041243,0.22705118661059634,0.2328624376906979,0.0,0.23578095095576868,0.23391197035857658,0.23027570793617577,990,DecisionTreeClassifier
Jitter,0.14772382920110236,0.1423112643017825,0.14907536907536914,0.09437289562289511,0.15026434984768286,0.15161128190113649,0.1452169671795842,990,DecisionTreeClassifier
Per_Sample_Accuracy,0.6786931818181817,0.6925592417061611,0.6752307692307693,0.6835416666666667,0.6784623015873017,0.678913043478261,0.6785514018691589,990,DecisionTreeClassifier
Label_Stability,0.7927272727272727,0.8055924170616114,0.7895147928994084,0.8454166666666666,0.790218253968254,0.7870048309178745,0.796417445482866,990,DecisionTreeClassifier
TPR,0.6369426751592356,0.36,0.6893939393939394,0.625,0.6375838926174496,0.4557823129251701,0.7191358024691358,990,DecisionTreeClassifier
TNR,0.7435897435897436,0.8970588235294118,0.6971046770601337,0.6666666666666666,0.7468805704099821,0.8239700374531835,0.6761006289308176,990,DecisionTreeClassifier
PPV,0.6666666666666666,0.6585365853658537,0.6674816625916871,0.6521739130434783,0.667447306791569,0.5877192982456141,0.6934523809523809,990,DecisionTreeClassifier
FNR,0.3630573248407643,0.64,0.3106060606060606,0.375,0.3624161073825503,0.54421768707483,0.2808641975308642,990,DecisionTreeClassifier
FPR,0.2564102564102564,0.10294117647058823,0.3028953229398664,0.3333333333333333,0.2531194295900178,0.1760299625468165,0.3238993710691824,990,DecisionTreeClassifier
Accuracy,0.6960227272727273,0.7061611374407583,0.693491124260355,0.6458333333333334,0.6984126984126984,0.6932367149758454,0.6978193146417445,990,DecisionTreeClassifier
F1,0.6514657980456026,0.46551724137931033,0.6782608695652174,0.6382978723404256,0.6521739130434783,0.5134099616858238,0.706060606060606,990,DecisionTreeClassifier
Selection-Rate,0.42613636363636365,0.1943127962085308,0.4840236686390533,0.4791666666666667,0.4236111111111111,0.2753623188405797,0.5233644859813084,990,DecisionTreeClassifier
Positive-Rate,0.9554140127388535,0.5466666666666666,1.0328282828282829,0.9583333333333334,0.9552572706935123,0.7755102040816326,1.037037037037037,990,DecisionTreeClassifier
