Metric,overall,SEX_priv,SEX_dis,RAC1P_priv,RAC1P_dis,SEX&RAC1P_priv,SEX&RAC1P_dis,Model_Seed,Model_Name
Mean,0.5573097467422485,0.5343446135520935,0.5784659385681152,0.5394717454910278,0.5919751524925232,0.5046781897544861,0.5910227298736572,105,XGBClassifier
Std,0.021986305713653564,0.02069174125790596,0.023178892210125923,0.021965982392430305,0.02202579565346241,0.020892219617962837,0.02358458749949932,105,XGBClassifier
IQR,0.027631446950137615,0.02556794665839302,0.029532404471543063,0.027686240021047696,0.02752496534581567,0.025816097504677168,0.02972981039877538,105,XGBClassifier
Entropy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,XGBClassifier
Jitter,0.02239605263157895,0.020108665825146813,0.024503261034430464,0.02269674565057096,0.02181170365206616,0.02185821697099893,0.026463010673536985,105,XGBClassifier
Per_Sample_Accuracy,0.8223875,0.8683003128258603,0.7800912584053794,0.8192919348731541,0.8284032376747609,0.8639324960753532,0.7846853146853147,105,XGBClassifier
Label_Stability,0.9692750000000001,0.97288842544317,0.9659462055715657,0.9688375615297236,0.9701250919793967,0.9702511773940344,0.9629370629370629,105,XGBClassifier
TPR,0.8607809847198642,0.9054054054054054,0.8156996587030717,0.8619556285949055,0.8581818181818182,0.9043062200956937,0.8131487889273357,105,XGBClassifier
TNR,0.793551276309897,0.8388349514563107,0.7547797173732336,0.785814606741573,0.8071693448702101,0.8284389489953632,0.7629107981220657,105,XGBClassifier
PPV,0.7674066599394551,0.8288659793814434,0.708498023715415,0.774741506646972,0.7515923566878981,0.8362831858407079,0.6994047619047619,105,XGBClassifier
FNR,0.13921901528013583,0.0945945945945946,0.18430034129692832,0.13804437140509448,0.14181818181818182,0.09569377990430622,0.18685121107266436,105,XGBClassifier
FPR,0.206448723690103,0.16116504854368932,0.24522028262676643,0.21418539325842698,0.19283065512978986,0.17156105100463678,0.23708920187793428,105,XGBClassifier
Accuracy,0.82325,0.8696558915537018,0.7804995196926032,0.8209011737978038,0.8278145695364238,0.8657770800627943,0.7832167832167832,105,XGBClassifier
F1,0.8114163777007202,0.8654467168998924,0.7583289264939186,0.8160248930377285,0.801358234295416,0.8689655172413793,0.752,105,XGBClassifier
Selection-Rate,0.4955,0.5057351407716372,0.4860710854947166,0.5126845891707686,0.46210448859455483,0.5321821036106751,0.4699300699300699,105,XGBClassifier
Positive-Rate,1.121675155631013,1.0923423423423424,1.1513083048919226,1.112571898110107,1.1418181818181818,1.0813397129186604,1.1626297577854672,105,XGBClassifier
