Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Jitter,0.04177923861852436,0.03715388858246003,0.026671710389438465,0.14487074829932,0.0478913083090379,0.03333716225702283,0.16847203129956545,0.027343697547084603,0.02035195963330249,0.11590571112165829,0.12206270520826637,0.09070239138600203,0.2278226600985209,0.033589385623701125,0.02413204046627222,0.13323334152938332,0.1368311688311689,0.10212276416358149,0.263443518252371,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
Label_Stability,0.9419903846153845,0.949864864864865,0.9658943466172383,0.7851428571428571,0.9315848214285715,0.9540712945590994,0.7452849740932641,0.9652977878615995,0.9760954712362302,0.8285271317829457,0.8123659305993692,0.8590593047034765,0.654896551724138,0.9554778067885118,0.9698456260720413,0.8040963855421688,0.7854545454545454,0.8395366795366795,0.5881690140845072,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
TPR,0.990343347639485,0.9920930232558139,1.0,0.0,0.9879594423320659,1.0,0.0,0.992951271835734,1.0,0.0,0.9720430107526882,1.0,0.0,0.9922502870264064,1.0,0.0,0.9631147540983607,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
TNR,0.15046296296296297,0.11467889908256881,1.0,0.0,0.18691588785046728,1.0,0.0,0.10646387832699619,1.0,0.0,0.21893491124260356,1.0,0.0,0.11849710982658959,1.0,0.0,0.27906976744186046,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
PPV,0.9095836412909584,0.9170249355116079,1.0,0.0,0.8995960761684939,1.0,0.0,0.9323741007194245,1.0,0.0,0.773972602739726,1.0,0.0,0.9189261031366295,1.0,0.0,0.7912457912457912,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
FNR,0.009656652360515022,0.007906976744186046,0.0,1.0,0.012040557667934094,0.0,1.0,0.007048728164266013,0.0,1.0,0.02795698924731183,0.0,1.0,0.007749712973593571,0.0,1.0,0.036885245901639344,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
FPR,0.8495370370370371,0.8853211009174312,0.0,1.0,0.8130841121495327,0.0,1.0,0.8935361216730038,0.0,1.0,0.7810650887573964,0.0,1.0,0.8815028901734104,0.0,1.0,0.7209302325581395,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
Accuracy,0.903125,0.9113175675675675,1.0,0.0,0.8922991071428571,1.0,0.0,0.926829268292683,1.0,0.0,0.7712933753943217,1.0,0.0,0.9133159268929504,1.0,0.0,0.7848484848484848,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
F1,0.9482470784641068,0.953083109919571,1.0,0.0,0.9417094533373603,1.0,0.0,0.9617097061442564,1.0,0.0,0.8617731172545281,1.0,0.0,0.9541816174441071,1.0,0.0,0.8687615526802218,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
Selection-Rate,0.9757211538461539,0.9822635135135135,0.9884151992585728,0.919047619047619,0.9670758928571429,0.9749843652282677,0.9015544041450777,0.9855360181508792,0.9914320685434517,0.9108527131782945,0.9211356466876972,0.9243353783231084,0.9103448275862069,0.9822454308093995,0.9882790165809033,0.9186746987951807,0.9,0.9073359073359073,0.8732394366197183,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7270353333333334
