Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Name,Virny_Random_State,Model_Params,Runtime_in_Mins
TPR,0.6242038216560509,0.4666666666666667,0.6540404040404041,0.4421768707482993,0.7067901234567902,0.4787234042553192,0.7208480565371025,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
TNR,0.7316239316239316,0.8088235294117647,0.7082405345211581,0.8164794007490637,0.660377358490566,0.8106508875739645,0.6234817813765182,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
PPV,0.6518847006651884,0.5737704918032787,0.6641025641025641,0.5701754385964912,0.6795252225519288,0.5844155844155844,0.6868686868686869,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
FNR,0.37579617834394907,0.5333333333333333,0.34595959595959597,0.5578231292517006,0.2932098765432099,0.5212765957446809,0.2791519434628975,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
FPR,0.26837606837606837,0.19117647058823528,0.29175946547884185,0.18352059925093633,0.33962264150943394,0.1893491124260355,0.3765182186234818,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
Accuracy,0.6837121212121212,0.6872037914691943,0.6828402366863905,0.6835748792270532,0.6838006230529595,0.6920152091254753,0.6754716981132075,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
F1,0.6377440347071583,0.5147058823529411,0.6590330788804071,0.49808429118773945,0.6928895612708018,0.5263157894736842,0.7034482758620689,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
Selection-Rate,0.4270833333333333,0.2890995260663507,0.46153846153846156,0.2753623188405797,0.5249221183800623,0.29277566539923955,0.560377358490566,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
Sample_Size,1056.0,211.0,845.0,414.0,642.0,526.0,530.0,LogisticRegression,42,"{'C': 1, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': None, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': None, 'penalty': 'l2', 'random_state': 42, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.0014195333333333333
