Dataset_Name,Model_Name,F1_Score,Accuracy_Score,Model_Best_Params
Law_School,LogisticRegression,0.6564,0.8987,"{'C': 100, 'max_iter': 250, 'penalty': 'l2', 'solver': 'newton-cg'}"
Law_School,RandomForestClassifier,0.6539,0.8981,"{'max_depth': 10, 'max_features': 0.6, 'min_samples_leaf': 1, 'n_estimators': 50}"
