Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params
Jitter,0.041256671899529064,0.03630136514065092,0.02573548900079509,0.14375433192144715,0.047804755830903725,0.036310549079793406,0.14886584141853426,0.026994107909754962,0.021384216690339356,0.10050612244897904,0.12057812399407715,0.08968240056758879,0.22477128782547384,0.03297468961474931,0.02427644579682768,0.1255356367471,0.13737786023500323,0.10953617810760721,0.24874458874458902,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
Label_Stability,0.9435192307692307,0.9514358108108109,0.9678293135435992,0.7847169811320754,0.9330580357142857,0.9502548166563083,0.7818579234972677,0.9661599546228021,0.9744932844932845,0.85696,0.817602523659306,0.865357873210634,0.6565517241379312,0.9568355091383812,0.9700314195944015,0.8164133738601824,0.788969696969697,0.8315151515151514,0.6187878787878789,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
TPR,0.9930257510729614,0.9934883720930232,1.0,0.0,0.9923954372623575,1.0,0.0,0.9947900704872816,1.0,0.0,0.9806451612903225,1.0,0.0,0.9939724454649828,1.0,0.0,0.9795081967213115,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
TNR,0.14583333333333334,0.09174311926605505,1.0,0.0,0.20093457943925233,1.0,0.0,0.11406844106463879,1.0,0.0,0.1952662721893491,1.0,0.0,0.10982658959537572,1.0,0.0,0.29069767441860467,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
PPV,0.9093588798820929,0.9151670951156813,1.0,0.0,0.9015544041450777,1.0,0.0,0.9330267318194884,1.0,0.0,0.7702702702702703,1.0,0.0,0.9183240519756033,1.0,0.0,0.7966666666666666,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
FNR,0.006974248927038627,0.0065116279069767444,0.0,1.0,0.0076045627376425855,0.0,1.0,0.005209929512718358,0.0,1.0,0.01935483870967742,0.0,1.0,0.006027554535017222,0.0,1.0,0.020491803278688523,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
FPR,0.8541666666666666,0.908256880733945,0.0,1.0,0.7990654205607477,0.0,1.0,0.8859315589353612,0.0,1.0,0.8047337278106509,0.0,1.0,0.8901734104046243,0.0,1.0,0.7093023255813954,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
Accuracy,0.9050480769230769,0.910472972972973,1.0,0.0,0.8978794642857143,1.0,0.0,0.9290981281905842,1.0,0.0,0.7712933753943217,1.0,0.0,0.9140992167101828,1.0,0.0,0.8,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
F1,0.9493524810873188,0.9527207850133809,1.0,0.0,0.9447963800904977,1.0,0.0,0.9629190151290419,1.0,0.0,0.8628192999053926,1.0,0.0,0.9546519641626464,1.0,0.0,0.8786764705882353,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
Selection-Rate,0.9786057692307693,0.9856418918918919,0.9907235621521335,0.9339622641509434,0.9693080357142857,0.9732753262896209,0.9344262295081968,0.9866704480998298,0.9908424908424909,0.932,0.9337539432176656,0.9325153374233128,0.9379310344827586,0.9845953002610967,0.9891459582976293,0.9361702127659575,0.9090909090909091,0.9053030303030303,0.9242424242424242,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
