Metric,overall,age_priv,age_dis,Model_Seed,Model_Name,Run_Number
Mean,0.9317250923285834,0.8645877066625277,0.9369106471624263,101,LogisticRegression,Run_1
Std,0.0044497713200602725,0.007123149633637672,0.004243285027823389,101,LogisticRegression,Run_1
IQR,0.005700102922559218,0.009207858284393276,0.005429171047687406,101,LogisticRegression,Run_1
Entropy,0.0,0.0,0.0,101,LogisticRegression,Run_1
Jitter,4.293877551020424e-05,0.0,4.625527901562468e-05,101,LogisticRegression,Run_1
Per_Sample_Accuracy,0.935888,0.8786610878661087,0.9403080900570937,101,LogisticRegression,Run_1
Label_Stability,0.9999520000000001,1.0,0.9999482925778305,101,LogisticRegression,Run_1
TPR,0.018575851393188854,0.04597701149425287,0.014311270125223614,101,LogisticRegression,Run_1
TNR,0.9992516570451144,0.9936507936507937,0.999656121045392,101,LogisticRegression,Run_1
PPV,0.631578947368421,0.5,0.7272727272727273,101,LogisticRegression,Run_1
FNR,0.9814241486068112,0.9540229885057471,0.9856887298747764,101,LogisticRegression,Run_1
FPR,0.0007483429548856104,0.006349206349206349,0.000343878954607978,101,LogisticRegression,Run_1
Accuracy,0.9359,0.8786610878661087,0.940321016912636,101,LogisticRegression,Run_1
F1,0.03609022556390978,0.08421052631578947,0.028070175438596492,101,LogisticRegression,Run_1
Selection-Rate,0.0019,0.011157601115760111,0.0011849617580523537,101,LogisticRegression,Run_1
Positive-Rate,0.029411764705882353,0.09195402298850575,0.01967799642218247,101,LogisticRegression,Run_1
