Metric,overall,sex_priv,sex_dis,race_priv,race_dis,sex&race_priv,sex&race_dis,Model_Seed,Model_Name,Run_Number
Mean,0.5262128396791645,0.5625222787732581,0.5177815930283773,0.5911085796616423,0.4821580209629197,0.5897426273507856,0.469561414897041,101,DecisionTreeClassifier,Run_1
Std,0.07175446249235631,0.07902351344990402,0.0700665498429374,0.07093087678792491,0.07231355803415632,0.08931169591113908,0.07262350978211131,101,DecisionTreeClassifier,Run_1
IQR,0.0899877789737582,0.10083388476988918,0.08746925499075929,0.09263924907509542,0.08818781437396331,0.11763061685301889,0.0883314410329742,101,DecisionTreeClassifier,Run_1
Entropy,0.0,0.22043649748352814,0.0,0.0,0.20999020126977194,0.21589288221549074,0.20697982091588352,101,DecisionTreeClassifier,Run_1
Jitter,0.1255291551882459,0.14042129841124804,0.12207111959737385,0.1149613228301758,0.13270318446789078,0.13747474747474783,0.13054873054873106,101,DecisionTreeClassifier,Run_1
Per_Sample_Accuracy,0.6602840909090909,0.67608040201005,0.6566161026837807,0.6579391100702576,0.6618759936406994,0.6402272727272726,0.6527413127413128,101,DecisionTreeClassifier,Run_1
Label_Stability,0.8257954545454546,0.8036180904522614,0.8309451575262544,0.8369086651053863,0.8182511923688394,0.8077272727272728,0.822084942084942,101,DecisionTreeClassifier,Run_1
TPR,0.6344969199178645,0.5714285714285714,0.645083932853717,0.4779874213836478,0.7103658536585366,0.44,0.7208480565371025,101,DecisionTreeClassifier,Run_1
TNR,0.7240773286467487,0.751937984496124,0.7159090909090909,0.7910447761194029,0.6644518272425249,0.7301587301587301,0.6340425531914894,101,DecisionTreeClassifier,Run_1
PPV,0.6630901287553648,0.5555555555555556,0.682741116751269,0.5757575757575758,0.6976047904191617,0.39285714285714285,0.7034482758620689,101,DecisionTreeClassifier,Run_1
FNR,0.3655030800821355,0.42857142857142855,0.354916067146283,0.5220125786163522,0.2896341463414634,0.56,0.2791519434628975,101,DecisionTreeClassifier,Run_1
FPR,0.2759226713532513,0.24806201550387597,0.2840909090909091,0.208955223880597,0.33554817275747506,0.2698412698412698,0.3659574468085106,101,DecisionTreeClassifier,Run_1
Accuracy,0.6827651515151515,0.6884422110552764,0.6814469078179697,0.6744730679156908,0.6883942766295708,0.6477272727272727,0.6814671814671814,101,DecisionTreeClassifier,Run_1
F1,0.6484784889821616,0.5633802816901409,0.6633785450061652,0.5223367697594502,0.7039274924471299,0.41509433962264153,0.7120418848167539,101,DecisionTreeClassifier,Run_1
Selection-Rate,0.4412878787878788,0.36180904522613067,0.4597432905484247,0.3091334894613583,0.5310015898251192,0.3181818181818182,0.5598455598455598,101,DecisionTreeClassifier,Run_1
