Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params,Virny_Random_State,Runtime_in_Mins
Jitter,0.04175608320251182,0.03678709321566469,0.026100877068490805,0.14602959667279292,0.04832224854227409,0.03262237225717353,0.1761640982923776,0.027288596663849866,0.02016936027777087,0.1174655908875181,0.12221721496169442,0.0875287187039774,0.23512943432406444,0.033551233548249536,0.02389523381557369,0.1349537292394436,0.13698206555349443,0.09688775510204081,0.2756867071152784,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
Label_Stability,0.9424903846153847,0.9507432432432433,0.9669726471951784,0.7848341232227488,0.9315848214285715,0.9561904761904761,0.7312244897959184,0.9654112308564946,0.9763280293757649,0.8271317829457364,0.8150157728706625,0.8684536082474227,0.6410738255033558,0.9558642297650131,0.9704089219330855,0.803123123123123,0.7872727272727273,0.8528125,0.5605405405405405,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
TPR,0.9908798283261803,0.9920930232558139,1.0,0.0,0.9892268694550064,1.0,0.0,0.9932577382776586,1.0,0.0,0.9741935483870968,1.0,0.0,0.9925373134328358,1.0,0.0,0.9672131147540983,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
TNR,0.13657407407407407,0.11009174311926606,1.0,0.0,0.16355140186915887,1.0,0.0,0.10266159695817491,1.0,0.0,0.1893491124260355,1.0,0.0,0.11271676300578035,1.0,0.0,0.23255813953488372,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
PPV,0.9082862060486845,0.9166308551783412,1.0,0.0,0.8971264367816092,1.0,0.0,0.9321253954558527,1.0,0.0,0.7677966101694915,1.0,0.0,0.9184594953519256,1.0,0.0,0.7814569536423841,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
FNR,0.009120171673819743,0.007906976744186046,0.0,1.0,0.010773130544993664,0.0,1.0,0.006742261722341404,0.0,1.0,0.025806451612903226,0.0,1.0,0.007462686567164179,0.0,1.0,0.03278688524590164,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
FPR,0.8634259259259259,0.8899082568807339,0.0,1.0,0.8364485981308412,0.0,1.0,0.8973384030418251,0.0,1.0,0.8106508875739645,0.0,1.0,0.8872832369942196,0.0,1.0,0.7674418604651163,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
Accuracy,0.9021634615384615,0.9108952702702703,1.0,0.0,0.890625,1.0,0.0,0.926829268292683,1.0,0.0,0.7649842271293376,1.0,0.0,0.9130548302872062,1.0,0.0,0.7757575757575758,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
F1,0.9477870429762668,0.9528702255974983,1.0,0.0,0.9409282700421941,1.0,0.0,0.9617210682492582,1.0,0.0,0.8587677725118483,1.0,0.0,0.9540626293281832,1.0,0.0,0.8644688644688645,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
Selection-Rate,0.9776442307692308,0.9826858108108109,0.9888734353268428,0.919431279620853,0.9709821428571429,0.9780701754385965,0.9132653061224489,0.9861032331253545,0.9917380660954712,0.9147286821705426,0.9305993690851735,0.934020618556701,0.9194630872483222,0.9830287206266318,0.9888475836431226,0.9219219219219219,0.9151515151515152,0.921875,0.8918918918918919,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
Sample_Size,4160.0,2368.0,2157.0,211.0,1792.0,1596.0,196.0,3526.0,3268.0,258.0,634.0,485.0,149.0,3830.0,3497.0,333.0,330.0,256.0,74.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}",42,0.7480712833333333
