Metric,overall,male_priv,male_priv_correct,male_priv_incorrect,male_dis,male_dis_correct,male_dis_incorrect,race_priv,race_priv_correct,race_priv_incorrect,race_dis,race_dis_correct,race_dis_incorrect,male&race_priv,male&race_priv_correct,male&race_priv_incorrect,male&race_dis,male&race_dis_correct,male&race_dis_incorrect,Model_Name,Model_Params
Label_Stability,0.9453076923076923,0.9533277027027027,0.9698701298701299,0.7850943396226415,0.9347098214285714,0.9535202492211838,0.7732620320855614,0.9672716959727736,0.9761587786259542,0.8513147410358566,0.8231545741324919,0.8734979423868313,0.6578378378378378,0.9580574412532636,0.9715738360468439,0.8142249240121581,0.7973333333333333,0.8460000000000001,0.6165714285714285,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
Jitter,0.03982692307692305,0.034781784335355795,0.02381129075006625,0.14634963419329916,0.04649371355685138,0.03403598448725289,0.1534170031649022,0.0258832926250477,0.019874996105312463,0.10427839661761157,0.11737462177299929,0.08410346854791322,0.22662989520132362,0.031876378749933335,0.022815638680493598,0.12829477079585622,0.13210142238713707,0.10033594976452095,0.2500874635568514,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
TPR,0.9927575107296137,0.9930232558139535,1.0,0.0,0.9923954372623575,1.0,0.0,0.9950965369292063,1.0,0.0,0.9763440860215054,1.0,0.0,0.9939724454649828,1.0,0.0,0.9754098360655737,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
TNR,0.1388888888888889,0.0963302752293578,1.0,0.0,0.1822429906542056,1.0,0.0,0.10646387832699619,1.0,0.0,0.1893491124260355,1.0,0.0,0.10982658959537572,1.0,0.0,0.2558139534883721,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
PPV,0.9086668303461822,0.9155231560891939,1.0,0.0,0.8994830557151062,1.0,0.0,0.9325100516944285,1.0,0.0,0.7681895093062606,1.0,0.0,0.9183240519756033,1.0,0.0,0.7880794701986755,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
FNR,0.007242489270386266,0.0069767441860465115,0.0,1.0,0.0076045627376425855,0.0,1.0,0.004903463070793748,0.0,1.0,0.023655913978494623,0.0,1.0,0.006027554535017222,0.0,1.0,0.02459016393442623,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
FPR,0.8611111111111112,0.9036697247706422,0.0,1.0,0.8177570093457944,0.0,1.0,0.8935361216730038,0.0,1.0,0.8106508875739645,0.0,1.0,0.8901734104046243,0.0,1.0,0.7441860465116279,0.0,1.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
Accuracy,0.9040865384615384,0.910472972972973,1.0,0.0,0.8956473214285714,1.0,0.0,0.9288145207033466,1.0,0.0,0.7665615141955836,1.0,0.0,0.9140992167101828,1.0,0.0,0.7878787878787878,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
F1,0.948852711190873,0.9526996876394467,1.0,0.0,0.943657728231395,1.0,0.0,0.9627872498146776,1.0,0.0,0.8598484848484849,1.0,0.0,0.9546519641626464,1.0,0.0,0.8717948717948718,1.0,0.0,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
Selection-Rate,0.9790865384615385,0.9847972972972973,0.9902597402597403,0.9292452830188679,0.9715401785714286,0.9757009345794393,0.9358288770053476,0.9875212705615428,0.9914503816793893,0.9362549800796812,0.9321766561514195,0.934156378600823,0.9256756756756757,0.9845953002610967,0.9891459582976293,0.9361702127659575,0.9151515151515152,0.9153846153846154,0.9142857142857143,RandomForestClassifier,"{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.6, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 50, 'n_jobs': None, 'oob_score': False, 'random_state': 42, 'verbose': 0, 'warm_start': False}"
